id,resource_id,ts,pp1,pp2,pp3,,already_know,articulationRate,boring,clear,complicated,discovery,engagement,exciting,f0Range,fast,interactive,long,mood,pause,time-stamp,time_stamp,too_fast,too_long,too_much,unclear,valuable
356,158,2021-12-13T14:38:20,,,,,false,,,,,false,1,,,,false,,,,,,false,false,false,,
372,306,2021-12-13T17:06:43,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
374,307,2021-12-13T17:07:59,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,true
378,308,2021-12-13T17:08:42,,,,,,,,false,,,3,false,,true,,false,,,,,,,,false,false
380,309,2021-12-13T17:09:16,,,,,,,,false,,,3,false,,true,,false,,,,,,,,false,false
381,310,2021-12-13T17:10:49,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,true
386,311,2021-12-13T17:11:59,,,,,,,,false,,,3,false,,true,,false,,,,,,,,false,false
388,312,2021-12-13T17:12:51,,,,,,,,false,,,3,false,,true,,false,,,,,,,,false,false
392,314,2021-12-13T17:14:24,,,,,,,,false,,,3,false,,true,,false,,,,,,,,false,false
396,315,2021-12-13T17:15:47,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
397,316,2021-12-13T17:16:51,,,,,,,,false,,,3,true,,false,,false,,,,,,,,false,false
398,317,2021-12-13T17:17:23,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,true
408,319,2021-12-13T17:19:37,,,,,,,,true,,,3,false,,false,,false,,,,,,,,false,false
410,320,2021-12-13T17:20:46,,,,,,,,false,,,3,true,,false,,false,,,,,,,,false,false
438,321,2021-12-13T17:21:42,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
444,322,2021-12-13T17:22:59,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
457,323,2021-12-13T17:23:56,,,,,,,,false,,,3,true,,false,,false,,,,,,,,false,false
469,324,2021-12-13T17:24:57,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,true
472,325,2021-12-13T17:25:24,,,,,,,,false,,,3,true,,false,,false,,,,,,,,false,false
476,327,2021-12-13T17:27:47,,,,,,,,false,,,3,false,,true,,false,,,,,,,,false,false
483,328,2021-12-13T17:28:59,,,,,,,,false,,,3,false,,true,,false,,,,,,,,false,false
484,329,2021-12-13T17:29:24,,,,,,,,false,,,4,false,,true,,false,,,,,,,,false,false
